ID,Prey,Taxonomic_group_prey,Predator,Taxonomic_group_pred,Citation,Full_reference
1,Mytilus sp.,Bivalvia,Acanthina monodon,Gastropoda,Ríos & Gerdes (1997),"Ríos, C., & Gerdes, D. (1997). Ensamble bentónico epifaunístico de un campo intermareal de bloques y cantos en Bahía Laredo, Estrecho de Magallanes. Anales del instituto de la Patagonia, Serie Ciencias Naturales 25, 47-55."
2,Perumytilus purpuratus,Bivalvia,Acanthina monodon,Gastropoda,Andrade (pers. comm.),
3,Mytilus sp.,Bivalvia,Acanthocyclus albatrossis,Decapoda,Uzkiaga et al. (2022),"Uzkiaga, N., Gebauer, P., Niklitschek, E., Montory, J., Paschke, K., Garcés, C., & De Lázaro-López, O. (2022). Predation of the crab Acanthocyclus albatrossis on seeds of the bivalve Mytilus chilensis under different environmental conditions: Importance of prey and predator size. Journal of Experimental Marine Biology and Ecology, 551, 151730. https://doi.org/10.1016/j.jembe.2022.151730"
4,Phytodetritus,"Non-living
",Amphipoda,Amphipoda,Andrade (pers. comm.),
5,Bivalvia,Bivalvia,Anasterias antarctica,Asteroidea,Andrade (pers. comm.),
6,Gastropoda,Gastropoda,Anasterias antarctica,Asteroidea,Ríos & Gerdes (1997),"Ríos, C., & Gerdes, D. (1997). Ensamble bentónico epifaunístico de un campo intermareal de bloques y cantos en Bahía Laredo, Estrecho de Magallanes. Anales del instituto de la Patagonia, Serie Ciencias Naturales 25, 47-55."
7,Mytilus sp.,Bivalvia,Anasterias antarctica,Asteroidea,Andrade (pers. comm.),
8,Harpagifer bispinis,Teleostei,Antholoba achates,Hexacorallia,Andrade (pers. comm.),
9,Zooplankton,Zooplankton,Appendicularians,Appendicularia,Cañete (pers. comm.),
10,Doryteuthis gahi,Cephalopoda,Aptenodytes patagonicus,Aves,Pütz et al. (2021),"Pütz, K., Gherardi-Fuentes, C., García-Borboroglu, P., Godoy, C., Flagg, M., Pedrana, J., Vianna, J. A., Simeone, A., & Lüthi, B. (2021). Exceptional foraging plasticity in King Penguins (Aptenodytes patagonicus) from a recently established breeding site in Tierra del Fuego, Chile. Global Ecology and Conservation, 28, e01669. https://doi.org/10.1016/j.gecco.2021.e01669"
11,Myctophidae,Teleostei,Aptenodytes patagonicus,Aves,Huidobro et al. (2018),"Huidobro, M., Oporto, J., Zurita, C. & Couve, E. (2018). Caracterización del Período de crianza de polluelos de Pingüino Rey (Aptenodytes patagonicus) en isla grande de Tierra de Fuego. Brotes Científicos, 1, 61-66."
12,Patagonotothen tessellata,Teleostei,Aptenodytes patagonicus,Aves,Pütz et al. (2021),"Pütz, K., Gherardi-Fuentes, C., García-Borboroglu, P., Godoy, C., Flagg, M., Pedrana, J., Vianna, J. A., Simeone, A., & Lüthi, B. (2021). Exceptional foraging plasticity in King Penguins (Aptenodytes patagonicus) from a recently established breeding site in Tierra del Fuego, Chile. Global Ecology and Conservation, 28, e01669. https://doi.org/10.1016/j.gecco.2021.e01669"
13,Sprattus fuegensis,Teleostei,Aptenodytes patagonicus,Aves,Huidobro et al. (2018),"Huidobro, M., Oporto, J., Zurita, C. & Couve, E. (2018). Caracterización del Período de crianza de polluelos de Pingüino Rey (Aptenodytes patagonicus) en isla grande de Tierra de Fuego. Brotes Científicos, 1, 61-66."
14,Brown algae,Macroalgae,Arbacia dufresnii,Echinoidea,Newcombe et al. (2012),"Newcombe, E., Cárdenas, C., & Geange, S. (2012). Green sea urchins structure invertebrate and macroalgal communities in the Magellan Strait, southern Chile. Aquatic Biology, 15(2), 135-144. https://doi.org/10.3354/ab00410"
15,Foraminifera,Foraminifera,Arbacia dufresnii,Echinoidea,Castro et al. (2022),"Castro, K. L., Epherra, L., Raffo, M. P., Morsan, E., & Rubilar, T. (2022). Changes in the diet of the native sea urchin Arbacia dufresnii at different scenarios of the Undaria pinnatifida invasion (Patagonia, Argentina). Food Webs, 31, e00221. https://doi.org/10.1016/j.fooweb.2022.e00221"
16,Green algae,Macroalgae,Arbacia dufresnii,Echinoidea,Castro et al. (2022),"Castro, K. L., Epherra, L., Raffo, M. P., Morsan, E., & Rubilar, T. (2022). Changes in the diet of the native sea urchin Arbacia dufresnii at different scenarios of the Undaria pinnatifida invasion (Patagonia, Argentina). Food Webs, 31, e00221. https://doi.org/10.1016/j.fooweb.2022.e00221"
17,Ostracoda,Ostracoda,Arbacia dufresnii,Echinoidea,Castro et al. (2022),"Castro, K. L., Epherra, L., Raffo, M. P., Morsan, E., & Rubilar, T. (2022). Changes in the diet of the native sea urchin Arbacia dufresnii at different scenarios of the Undaria pinnatifida invasion (Patagonia, Argentina). Food Webs, 31, e00221. https://doi.org/10.1016/j.fooweb.2022.e00221"
