"","Prey","Predator","Reference","Reference_link"
"1","Mytilus sp.","Acanthina monodon","Ríos & Gerdes (1997)","https://epic.awi.de/id/eprint/5233/"
"2","Perumytilus purpuratus","Acanthina monodon","Andrade (pers. comm.)",""
"3","Mytilus sp.","Acanthocyclus albatrossis","","https://www.sciencedirect.com/science/article/abs/pii/S0022098122000387"
"4","Phytodetritus","Amphipoda","Andrade (pers. comm.)",""
"5","Bivalvia","Anasterias antarctica","Andrade (pers. comm.)",""
"6","Gastropoda","Anasterias antarctica","Ríos & Gerdes (1997)","https://epic.awi.de/id/eprint/5233/"
"7","Mytilus sp.","Anasterias antarctica","Andrade (pers. comm.)",""
"8","Harpagifer bispinis","Antholoba achates","Andrade (pers. comm.)",""
"9","Zooplankton","Appendicularians","",""
"10","Doryteuthis gahi","Aptenoydes patagonicus","Pütz et al. (2021)","https://www.sciencedirect.com/science/article/pii/S2351989421002195"
"11","Myctophidae","Aptenoydes patagonicus","Huidobro & Oporto (2018)","https://repositorio.uc.cl/xmlui/handle/11534/45383"
"12","Patagonotothen tessellata","Aptenoydes patagonicus","Pütz et al. (2021)",""
"13","Sprattus fuegensis","Aptenoydes patagonicus","Huidobro & Oporto (2018)","https://repositorio.uc.cl/xmlui/handle/11534/45382"
"14","Brown algae","Arbacia dufresnii","Newcombe et al. (2012)","https://www.int-res.com/abstracts/ab/v15/n2/p135-144"
"15","Foraminifera","Arbacia dufresnii","Castro et al. (2022)",""
"16","Green algae","Arbacia dufresnii","Castro et al. (2022)",""
"17","Ostracoda","Arbacia dufresnii","Castro et al. (2022)",""
"18","Red algae","Arbacia dufresnii","Castro et al. (2022)",""
"19","Merluccius australis","Arctocephalus australis","","http://cybertesis.uach.cl/tesis/uach/2012/fcv297h/doc/fcv297h.pdf"
"20","Myctophidae","Arctocephalus australis","","http://cybertesis.uach.cl/tesis/uach/2012/fcv297h/doc/fcv297h.pdf"
"21","Phytoplankton","Aulacomya atra","",""
"22","Zooplankton","Aulacomya atra","",""
"23","Phytoplankton","Austrochlamys natans","",""
"24","Isopoda","Austrolycus depressiceps","Reyes & Hüne (2012)","Peces del sur de Chile"
"25","Patagonotothen cornucola","Austrolycus depressiceps","Reyes & Hüne (2012)","Peces del sur de Chile"
"26","Polychaeta","Austrolycus depressiceps","Reyes & Hüne (2012)","Peces del sur de Chile"
"27","Bivalvia (larvae)","Bathylagichthys parini (larvae)","Salas-Berrios et al. (2013)","https://link.springer.com/article/10.1007/s00300-013-1359-8"
"28","Calanoid (copepodite)","Bathylagichthys parini (larvae)","Salas-Berrios et al. (2013)","https://link.springer.com/article/10.1007/s00300-013-1359-8"
"29","Copepoda (egg)","Bathylagichthys parini (larvae)","Salas-Berrios et al. (2013)","https://link.springer.com/article/10.1007/s00300-013-1359-8"
