Reference,Full reference,,,,,,,,,,,,,,,,,,,,,,,,
Adami1999,"Adami, M. L., & Gordillo, S. (1999). Structure and dynamics of the biota associated with Macrocystis pyrifera (Phaeophyta) from the Beagle Channel, Tierra del Fuego. Scientia Marina, 63(1889), 183–191. https://doi.org/10.3989/scimar.1999.63s1183",,,,,,,,,,,,,,,,,,,,,,,,
Alvariño1985,"Alvariño, A. (1985). Predation in the plankton realm: mainly with reference to fish larvae. Investigaciones Marinas CICIMAR, 2(NGm. Esp. l), 1–122.",,,,,,,,,,,,,,,,,,,,,,,,
Alves2018,"Nadia M. Alves, Melisa M. Leyton, Brenda Temperoni, Mauro Belleggia. (2018) Dieta del stock patagonico de merluza común (merluccius hubbsi) a partir del análisis de contenido estomacal. X Jornadas nacionales de ciencias del mar",,,,,,,,,,,,,,,,,,,,,,,,
Andrade2007,"Andrade, C., & Rios, C. (2007). Estudio Experimental De Los Habitos Tróficos De Trophon geversianus ( Pallas 1774 ) ( Gastropoda : Muricidae ): Selección Y Manipulación De Presas. Anales Instituto Patagonia (Chile), 35(1), 45–53.",,,,,,,,,,,,,,,,,,,,,,,,
Antacli2014,"Antacli, J. C., Sabatini, M. E., Silva, R. I., Hernández, D. R., Jaureguizar, A. J., & Akselman, R. (2014). Feeding and reproductive activity of the copepods Drepanopus forcipatus and Calanus australis during late summer on the Southern Patagonian shelf (Argentina, 47°-55°s). Brazilian Journal of Oceanography, 62(4), 295–314. https://doi.org/10.1590/S1679-87592014073406204",,,,,,,,,,,,,,,,,,,,,,,,
Arkhipkin2001,"Arkhipkin, A. I., Brickle, P., Laptikhovsky, V., Butcher, L., Jones, E., Potter, M., & Poulding, D. (2001). Variation in the diet of the red cod, Salilota australis (Pisces: Moridae), with size and season at the Falkland Islands (south-west Atlantic). Journal of the Marine Biological Association of the United Kingdom, 81(2001), 1035–1040.",,,,,,,,,,,,,,,,,,,,,,,,
Arkhipkin2003,"Arkhipkin, A., Brickle, P., & Laptikhovsky, V. (2003). Variation in the diet of the Patagonian toothfish with size, depth and season around the Falkland Islands. Journal of Fish Biology, 63(2), 428–441. https://doi.org/10.1046/j.1095-8649.2003.00164.x",,,,,,,,,,,,,,,,,,,,,,,,
Balzi1997,"Balzi P. (1997) Los hábitos alimenticios de la centolla Lithodes santolla (Molina) del Golfo San Jorge. Naturalia Patagónica, Ciencias Biológicas, Argentina 5: 67-87.",,,,,,,,,,,,,,,,,,,,,,,,
Barz2004,"Barz, K., & Hirche, H. (2004). Predatory impact of Aurelia aurita on the zooplankton community in the Bornholm Basin ( central Baltic ). Cm, 1–13.",,,,,,,,,,,,,,,,,,,,,,,,
Bascompte2005,"Bascompte, J., Melian, C. J., & Sala, E. (2005). Interaction strength combinations and the overfishing of a marine food web. Proceedings of the National Academy of Sciences, 102(15), 5443–5447. https://doi.org/10.1073/pnas.0501562102",,,,,,,,,,,,,,,,,,,,,,,,
Belleggia2008,"Belleggia, M., Mabragaña, E., Figueroa, D. E., Scenna, L. B., Barbini, S. a., & Díaz de Astarloa, J. M. (2008). Hábitos alimentarios de la raya de cola corta, Bathyraja brachyurops (Chondrichthyes, Rajidae), en el Atlántico Sudoccidental. Scientia Marina, 72(4), 701–710. https://doi.org/10.3989/scimar.2008.72n4701",,,,,,,,,,,,,,,,,,,,,,,,
Belleggia2014,"Belleggia, M., Scenna, L. B., Barbini, S. A., Figueroa, D. E., & De Astarlqa, J. M. D. (2014). The diets of four Bathyraja skates (Elasmobranchii, Arhynchobatidae) from the Southwest Atlantic. Cybium, 38(4), 314–318.",,,,,,,,,,,,,,,,,,,,,,,,
Blankley1985,"Blankley, W. O., Grindley, J. R. (1985). The intertidal and shallow subtidal food web at Marion Island. In: Siegfried W. R., Condy, P. R., Laws, R. M. (eds.) Antarctic nutrient cycles and food webs. Springer. Berlin, p. 630-636",,,,,,,,,,,,,,,,,,,,,,,,
Blazewicz-Paszkowycz2002,"Blazewicz-Paszkowycz, M., & Ligowski, R. (2002). Diatoms as food source indicator for some Antarctic Cumacea and Tanaidacea (Crustacea). Antarctic Science, 14(1), 11–15. https://doi.org/10.1017/S0954102002000524",,,,,,,,,,,,,,,,,,,,,,,,
