Trophospecie,Taxonomic group (phylum/subphylum),Common name,Habitat,Funtional group,Body size,Body weight,Life Stage,Trophic Level,Trophic position,Abundance,Biomass,Production,P/B ratio,Diet type,Feeding Mode,,,,,,,,,,
Acanthocyclus albatrossis,Crustacea,crab,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Adenocystis utricularis,Ochrophyta,brown algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Aged detritus,NA,detritus (faeces),benthic,non-living,,,,,,,,,,,,,,,,,,,,,
Amphipoda,Crustacea,amphipod,benthopelagic,zooplankton,,,,,,,,,,,,,,,,,,,,,
Anasterias antarctica,Echinodermata,sea star,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Arbacia dufresnii,Echinodermata,sea urchin,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Ascidiacea,Tunicata ,ascidian,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Asterina fimbriata,Echinodermata,sea star,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Aulacomya atra,Mollusca,mussel,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Austrolycus depressiceps,Vertebrata,fish,benthic,fish,,,,,,,,,,,,,,,,,,,,,
Ballia sp.,Rhodophyta,red algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Bathyraja albomaculata,Vertebrata,fish,benthic,fish,,,,,,,,,,,,,,,,,,,,,
Bathyraja brachyurops,Vertebrata,fish,benthic,fish,,,,,,,,,,,,,,,,,,,,,
Bathyraja griseocauda,Vertebrata,fish,benthic,fish,,,,,,,,,,,,,,,,,,,,,
Bathyraja scaphiops,Vertebrata,fish,benthic,fish,,,,,,,,,,,,,,,,,,,,,
Bivalvia,Bivalvia,bivalve,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Blidingia minima,Chlorophyta,green algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Bostrychia sp.,Rhodophyta,red algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Bryozoa,Bryozoa,bryozoan,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Calliostoma nudum,Mollusca,sea snail,benthic ,benthos,,,,,,,,,,,,,,,,,,,,,
Callophyllis pinnata,Rhodophyta,red algae,benthic ,basal taxa,,,,,,,,,,,,,,,,,,,,,
Campylonotus vagans,Crustacea,shrimp,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Careproctus pallidus,Vertebrata,fish,benthic,fish,,,,,,,,,,,,,,,,,,,,,
Cephalopoda,Mollusca,molusc,benthopelagic,benthos,,,,,,,,,,,,,,,,,,,,,
Ceramium diaphanum,Rhodophyta,red algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Ceramium sp.,Rhodophyta,red algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Champsocephalus esox,Vertebrata,fish,benthopelagic,fish,,,,,,,,,,,,,,,,,,,,,
Chthamalus sp.,Crustacea,barnacle,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Cirratulidae,Annelida,polychaete,benthic ,benthos,,,,,,,,,,,,,,,,,,,,,
Cirripedia,Crustacea,barnacle,benthic ,benthos,,,,,,,,,,,,,,,,,,,,,
Cladophora sp.,Chlorophyta,green algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Codium sp.,Chlorophyta,green algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Congiopodus peruvianus,Vertebrata,fish,benthic,fish,,,,,,,,,,,,,,,,,,,,,
Copepoda,Crustacea,copepod,benthopelagic,zooplankton,,,,,,,,,,,,,,,,,,,,,
Cosmasterias lurida,Echinodermata,sea star,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Cottoperca gobio,Vertebrata,fish,benthic,fish,,,,,,,,,,,,,,,,,,,,,
Crepipatella dilatata,Mollusca,sea snail,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Crustacea,Crustacea,crustacean,benthopelagic,benthos,,,,,,,,,,,,,,,,,,,,,
Ctenophora,Ctenophora,comb jellies,pelagic,zooplankton,,,,,,,,,,,,,,,,,,,,,
Cumacea,Crustacea,shrimp,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Delesseriaceae ,Rhodophyta,red algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Derbesia sp.,Chlorophyta,green algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Desmarestia sp.,Ochrophyta,brown algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Diatomea,Ochrophyta,diatom,benthopelagic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Dissostichus eleginoides,Vertebrata,fish,benthopelagic,fish,,,,,,,,,,,,,,,,,,,,,
Echiura,Annelida,polychaete,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Ectocarpus sp.,Ochrophyta,brown algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Eleginops maclovinus,Vertebrata,fish,benthic,fish,,,,,,,,,,,,,,,,,,,,,
Euphausiacea,Crustacea,krill,pelagic,zooplankton,,,,,,,,,,,,,,,,,,,,,
Eurhomalea exalbida,Mollusca,clam,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Eurypodius latreillii,Crustacea,crab,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Exosphaeroma gigas,Crustacea,isopod,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Fissurella oriens,Mollusca,limpet,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Fissurella picta,Mollusca,limpet,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Fresh detritus,NA,detritus (algae),benthopelagic,non-living,,,,,,,,,,,,,,,,,,,,,
Gaimardia trapesina,Mollusca,clam,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Galaxias maculatus,Vertebrata,fish,benthopelagic,fish,,,,,,,,,,,,,,,,,,,,,
Gammaridea,Crustacea,amphipod,benthic,zooplankton,,,,,,,,,,,,,,,,,,,,,
Gastropoda,Mollusca,gastropod,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Genypterus blacodes,Vertebrata,fish,benthic,fish,,,,,,,,,,,,,,,,,,,,,
Glabraster antarctica,Echinodermata,sea star,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Glyceridae,Annelida,polychaete,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Griffithsia sp.,Rhodophyta,red algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Halicarcinus planatus ,Crustacea,crab,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Halopteris sp.,Ochrophyta,brown algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Harpagifer bispinis,Vertebrata,fish,benthic,fish,,,,,,,,,,,,,,,,,,,,,
Hiatella arctica,Mollusca,clam,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Hincksia sp.,Ochrophyta,brown algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Holothuroidea,Echinodermata,sea cucumber,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Hydrozoa,Cnidaria,hydrozoan,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Hymenena sp.,Rhodophyta,red algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
