consumer,resource_original,resource_collapsed,resource_group,reference,reference_link
Acanthina monodon,Mytilus chilensis,Mytilus sp.,Bivalvia,Ríos & Gerdes (1997),https://epic.awi.de/id/eprint/5233/
Acanthina monodon,Perumytilus purpuratus,Perumytilus purpuratus,Bivalvia,Andrade (pers. comm.),
Acanthocyclus albatrossis,Mytilus chilensis,Mytilus sp.,Bivalvia,,https://www.sciencedirect.com/science/article/abs/pii/S0022098122000387
Amphipoda,Phytodetritus,Phytodetritus,Non-living,Andrade (pers. comm.),
Amphipoda,Phytodetritus,Phytodetritus,Non-living,Andrade (pers. comm.),
Anasterias antarctica,Aulacomya atra,Bivalvia,Bivalvia,Andrade (pers. comm.),
Anasterias antarctica,Trophon geversianus,Gastropoda,Gastropoda,Ríos & Gerdes (1997),https://epic.awi.de/id/eprint/5233/
Anasterias antarctica,Mytilus chilensis,Mytilus sp.,Bivalvia,Andrade (pers. comm.),
Antholoba achates,Harpagifer bispinis,Harpagifer bispinis,Pisces,Andrade (pers. comm.),
Appendicularians,Zooplankton,Zooplankton,Zooplankton,,
Aptenoydes patagonicus,Doryteuthis gahi,Doryteuthis gahi,Cephalopoda,Pütz et al. (2021),https://www.sciencedirect.com/science/article/pii/S2351989421002195
Aptenoydes patagonicus,Myctophidae,Myctophidae,Pisces,Huidobro & Oporto (2018),https://repositorio.uc.cl/xmlui/handle/11534/45383
Aptenoydes patagonicus,Patagonotothen tessellata,Patagonotothen tessellata,Pisces,Pütz et al. (2021),
Aptenoydes patagonicus,Sprattus fuegensis,Sprattus fuegensis,Pisces,Huidobro & Oporto (2018),https://repositorio.uc.cl/xmlui/handle/11534/45382
Arbacia dufresnii,Macrocystis pyrifera,Brown algae,Macroalgae,Newcombe et al. (2012),https://www.int-res.com/abstracts/ab/v15/n2/p135-144
Arbacia dufresnii,Forams,Foraminifera,Foraminifera,Castro et al. (2022),
Arbacia dufresnii,Ulva sp.,Green algae,Macroalgae,Castro et al. (2022),
Arbacia dufresnii,Ostracods,Ostracoda,Ostracoda,Castro et al. (2022),
Arbacia dufresnii,Ceramium sp.,Red algae,Macroalgae,Castro et al. (2022),
Arbacia dufresnii,Heterosiphonia sp.,Red algae,Macroalgae,Castro et al. (2022),
Arctocephalus australis,Merluccius australis,Merluccius australis,Pisces,,http://cybertesis.uach.cl/tesis/uach/2012/fcv297h/doc/fcv297h.pdf
Arctocephalus australis,Myctophidae,Myctophidae,Pisces,,http://cybertesis.uach.cl/tesis/uach/2012/fcv297h/doc/fcv297h.pdf
Aulacomya atra,Phytoplankton,Phytoplankton,Phytoplankton,,
Aulacomya atra,Zooplankton,Zooplankton,Bivalvia,,
Austrochlamys natans,Phytoplankton,Phytoplankton,Phytoplankton,,
Austrolycus depressiceps,Isopoda,Isopoda,Isopoda,Reyes & Hüne (2012),Peces del sur de Chile
Austrolycus depressiceps,Patagonotothen cornucola,Patagonotothen cornucola,Pisces,Reyes & Hüne (2012),Peces del sur de Chile
Austrolycus depressiceps,Polychaetes,Polychaeta,Polychaeta,Reyes & Hüne (2012),Peces del sur de Chile
Bathylagichthys parini (larvae),Bivalvia larva,Bivalvia (larvae),Bivalvia,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
Bathylagichthys parini (larvae),Calanoid (copepodite),Calanoid (copepodite),Copepoda,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
Bathylagichthys parini (larvae),Copepod egg,Copepoda (egg),Copepoda,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
Bathylagichthys parini (larvae),Copepod nauplius,Copepoda (nauplius),Copepoda,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
Bathylagichthys parini (larvae),Appendicularia fecal pellet,Detritus,Non-living,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
Bathylagichthys parini (larvae),Ostracods,Ostracoda,Ostracoda,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
Bathylagichthys parini (larvae),Fragilaria sp.,Plankton diatom,Phytoplankton,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
Bathylagichthys parini (larvae),Salp,Salp,Tunicata,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8
Benthic decapoda,Mytilus sp.,Mytilus sp.,Bivalvia,,
Bivalvia,Phytoplankton,Phytoplankton,Phytoplankton,,
Bivalvia (larvae),Diatoms,Benthic diatom,Phytoplankton,,
Bivalvia (larvae),Chaetoceros sp.,Plankton diatom,Phytoplankton,,https://www.sciencedirect.com/science/article/pii/S0044848603002722
Brachiopoda,Phytoplankton,Phytoplankton,Phytoplankton,,
Bryozoa,Phytoplankton,Phytoplankton,Phytoplankton,,
Bryozoa,Zooplankton,Zooplankton,Zooplankton,,
Bunodactis octoradiata,Exosphaeroma gigas,Exosphaeroma gigas,Crustacea,Andrade C & Ríos C (2007),http://analesdelinstitutodelapatagonia.cl/index.php/analespatagonia/article/view/386
Calanoid (copepodite),Phytoplankton,Phytoplankton,Phytoplankton,,
Calidris canutus,Darina solenoides,Bivalvia,Bivalvia,Espoz et al. (2008),https://www.researchgate.net/publication/262687507_Trophic_ecology_of_the_Red_Knot_Calidris_canutus_rufa_at_Bahia_Lomas_Tierra_del_Fuego_Chile?enrichId=rgreq-8c958f7066ac761a5d05454e0c0e8de9-XXX&enrichSource=Y292ZXJQYWdlOzI2MjY4NzUwNztBUzoxNDE3ODM2MTkwODQyODhAMTQxMDgxNTI1NzkyOQ%3D%3D&el=1_x_2&_esc=publicationCoverPdf
Callorhinchus callorynchus,Bivalves,Bivalvia,Bivalvia,Di Giacomo & Perier (1996),https://www.publish.csiro.au/mf/mf9960801
Campylonotus vagans,Zooplankton,Zooplankton,Plankton,,
Cephalopoda,Crustaceans,Benthic decapoda,Decapoda,,
Cephalopoda,Bivalves,Bivalvia,Bivalvia,,
Cephalorhynchus commersonii commersonii,Campylonotus vagans,Benthic decapoda,Decapoda,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-16
Cephalorhynchus commersonii commersonii,Munida gregaria,Benthic decapoda,Decapoda,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-14
Cephalorhynchus commersonii commersonii,Doryteuthis gahi,Doryteuthis gahi,Cephalopoda,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-12
Cephalorhynchus commersonii commersonii,Eleginops maclovinus,Eleginops maclovinus,Pisces,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-7
Cephalorhynchus commersonii commersonii,Enteroctopus megalocyathus,Enteroctopus megalocyathus,Cephalopoda,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-13
Cephalorhynchus commersonii commersonii,Halicarcinus planatus,Halicarcinus planatus,Decapoda,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-15
Cephalorhynchus commersonii commersonii,Illex argentinus,Illex argentinus,Cephalopoda,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-11
Cephalorhynchus commersonii commersonii,Macruronus magellanicus,Macruronus magellanicus,Pisces,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-10
Cephalorhynchus commersonii commersonii,Odontesthes spp.,Odontesthes sp.,Pisces,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-8
Cephalorhynchus commersonii commersonii,Patagonotothen spp.,Patagonotothen sp.,Pisces,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-5
Cephalorhynchus commersonii commersonii,Sprattus fuegensis,Sprattus fuegensis,Pisces,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-9
Cephalorhynchus commersonii commersonii,Zoarcids,Zoarcidae,Pisces,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-6
Champsocephalus esox,Patagonotothen cornucola,Patagonotothen cornucola,Pisces,Landaeta et al. (2020),https://www.cambridge.org/core/journals/antarctic-science/article/abs/shape-condition-and-diet-of-the-pike-icefish-champsocephalus-esox-teleostei-channichthyidae-evidence-of-phenotypic-plasticity/F45F7393F50141A0E3999A96CA55B1DC
