ID,Prey,Taxonomic_group_prey,Predator,Taxonomic_group_pred,Reference,Reference_link
1,Mytilus sp.,Bivalvia,Acanthina monodon,Gastropoda,Ríos & Gerdes (1997),https://epic.awi.de/id/eprint/5233/
2,Perumytilus purpuratus,Bivalvia,Acanthina monodon,Gastropoda,Andrade (pers. comm.),
3,Mytilus sp.,Bivalvia,Acanthocyclus albatrossis,Decapoda,Uzkiaga et al. (2022),https://www.sciencedirect.com/science/article/abs/pii/S0022098122000387
4,Phytodetritus,"Non-living
",Amphipoda,Amphipoda,Andrade (pers. comm.),
5,Bivalvia,Bivalvia,Anasterias antarctica,Asteroidea,Andrade (pers. comm.),
6,Gastropoda,Gastropoda,Anasterias antarctica,Asteroidea,Ríos & Gerdes (1997),https://epic.awi.de/id/eprint/5233/
7,Mytilus sp.,Bivalvia,Anasterias antarctica,Asteroidea,Andrade (pers. comm.),
8,Harpagifer bispinis,Teleostei,Antholoba achates,Hexacorallia,Andrade (pers. comm.),
9,Zooplankton,Zooplankton,Appendicularians,Appendicularia,Cañete (pers. comm.),
10,Doryteuthis gahi,Cephalopoda,Aptenodytes patagonicus,Aves,Pütz et al. (2021),https://www.sciencedirect.com/science/article/pii/S2351989421002195
11,Myctophidae,Teleostei,Aptenodytes patagonicus,Aves,Huidobro & Oporto (2018),https://repositorio.uc.cl/xmlui/handle/11534/45383
12,Patagonotothen tessellata,Teleostei,Aptenodytes patagonicus,Aves,Pütz et al. (2021),https://www.sciencedirect.com/science/article/pii/S2351989421002195
13,Sprattus fuegensis,Teleostei,Aptenodytes patagonicus,Aves,Huidobro & Oporto (2018),https://repositorio.uc.cl/xmlui/handle/11534/45382
14,Brown algae,Macroalgae,Arbacia dufresnii,Echinoidea,Newcombe et al. (2012),https://www.int-res.com/abstracts/ab/v15/n2/p135-144
15,Foraminifera,Foraminifera,Arbacia dufresnii,Echinoidea,Castro et al. (2022),https://www.sciencedirect.com/science/article/abs/pii/S2352249622000039?via%3Dihub
16,Green algae,Macroalgae,Arbacia dufresnii,Echinoidea,Castro et al. (2022),https://www.sciencedirect.com/science/article/abs/pii/S2352249622000039?via%3Dihub
17,Ostracoda,Ostracoda,Arbacia dufresnii,Echinoidea,Castro et al. (2022),https://www.sciencedirect.com/science/article/abs/pii/S2352249622000039?via%3Dihub
18,Red algae,Macroalgae,Arbacia dufresnii,Echinoidea,Castro et al. (2022),https://www.sciencedirect.com/science/article/abs/pii/S2352249622000039?via%3Dihub
19,Merluccius australis,Teleostei,Arctocephalus australis,Mammalia,Vargas (2012),http://cybertesis.uach.cl/tesis/uach/2012/fcv297h/doc/fcv297h.pdf
20,Myctophidae,Teleostei,Arctocephalus australis,Mammalia,Vargas (2012),http://cybertesis.uach.cl/tesis/uach/2012/fcv297h/doc/fcv297h.pdf
