ID,Prey,Predator,Reference,Reference_link
1,Mytilus sp.,Acanthina monodon,Ríos & Gerdes (1997),https://epic.awi.de/id/eprint/5233/
2,Perumytilus purpuratus,Acanthina monodon,Andrade (pers. comm.),
3,Mytilus sp.,Acanthocyclus albatrossis,Uzkiaga et al. (2022),https://www.sciencedirect.com/science/article/abs/pii/S0022098122000387
4,Phytodetritus,Amphipoda,Andrade (pers. comm.),
5,Bivalvia,Anasterias antarctica,Andrade (pers. comm.),
6,Gastropoda,Anasterias antarctica,Ríos & Gerdes (1997),https://epic.awi.de/id/eprint/5233/
7,Mytilus sp.,Anasterias antarctica,Andrade (pers. comm.),
8,Harpagifer bispinis,Antholoba achates,Andrade (pers. comm.),
9,Zooplankton,Appendicularians,Cañete (pers. comm.),
10,Doryteuthis gahi,Aptenoydes patagonicus,Pütz et al. (2021),https://www.sciencedirect.com/science/article/pii/S2351989421002195
11,Myctophidae,Aptenoydes patagonicus,Huidobro & Oporto (2018),https://repositorio.uc.cl/xmlui/handle/11534/45383
12,Patagonotothen tessellata,Aptenoydes patagonicus,Pütz et al. (2021),https://www.sciencedirect.com/science/article/pii/S2351989421002195
13,Sprattus fuegensis,Aptenoydes patagonicus,Huidobro & Oporto (2018),https://repositorio.uc.cl/xmlui/handle/11534/45382
14,Brown algae,Arbacia dufresnii,Newcombe et al. (2012),https://www.int-res.com/abstracts/ab/v15/n2/p135-144
15,Foraminifera,Arbacia dufresnii,Castro et al. (2022),https://www.sciencedirect.com/science/article/abs/pii/S2352249622000039?via%3Dihub
16,Green algae,Arbacia dufresnii,Castro et al. (2022),https://www.sciencedirect.com/science/article/abs/pii/S2352249622000039?via%3Dihub
17,Ostracoda,Arbacia dufresnii,Castro et al. (2022),https://www.sciencedirect.com/science/article/abs/pii/S2352249622000039?via%3Dihub
18,Red algae,Arbacia dufresnii,Castro et al. (2022),https://www.sciencedirect.com/science/article/abs/pii/S2352249622000039?via%3Dihub
19,Merluccius australis,Arctocephalus australis,Vargas (2012),http://cybertesis.uach.cl/tesis/uach/2012/fcv297h/doc/fcv297h.pdf
20,Myctophidae,Arctocephalus australis,Vargas (2012),http://cybertesis.uach.cl/tesis/uach/2012/fcv297h/doc/fcv297h.pdf
21,Phytoplankton,Aulacomya atra,Montero et al. (2021),https://www.frontiersin.org/articles/10.3389/fmars.2021.612406/full
22,Zooplankton,Aulacomya atra,Montero et al. (2021),https://www.frontiersin.org/articles/10.3389/fmars.2021.612406/full
23,Phytoplankton,Austrochlamys natans,Gallardo et al. (2024),https://onlinelibrary.wiley.com/doi/full/10.1155/2024/6685325
24,Isopoda,Austrolycus depressiceps,Reyes & Hüne (2012),"https://www.researchgate.net/publication/275890486_Peces_del_Sur_de_Chile#:~:text=Abstract,que%20viven%20en%20aguas%20chilenas."
