consumer,resource_original,resource_collapsed,resource_group,reference,reference_lins,observations
Acanthina monodon,Mytilus chilensis,Mytilus sp.,Bivalvia,Ríos & Gerdes (1997),https://epic.awi.de/id/eprint/5233/,Stomach content
Acanthina monodon,Perumytilus purpuratus,Perumytilus purpuratus,Bivalvia,Andrade unpub.,,In situ observation
Acanthocyclus albatrossis,Mytilus chilensis,Mytilus sp.,Bivalvia,,https://www.sciencedirect.com/science/article/abs/pii/S0022098122000387,
Amphipoda,Phytodetritus,Phytodetritus,Non-living,Andrade unpub.,,
Amphipoda,Phytodetritus,Phytodetritus,Non-living,Andrade unpub.,,
Anasterias antarctica,Aulacomya atra,Bivalvia,Bivalvia,Andrade unpub.,,
Anasterias antarctica,Trophon geversianus,Gastropoda,Gastropoda,Ríos & Gerdes (1997),https://epic.awi.de/id/eprint/5233/,
Anasterias antarctica,Mytilus chilensis,Mytilus sp.,Bivalvia,Andrade unpub.,,In situ observation
Antholoba achates,Harpagifer bispinis,Harpagifer bispinis,Pisces,Andrade unpub.,,In situ observation (laboratory)
Appendicularia,Zooplankton,Zooplankton,Zooplankton,,,
Aptenoydes patagonicus,Doryteuthis gahi ,Doryteuthis gahi,Cephalopoda,Pütz et al. (2021),https://www.sciencedirect.com/science/article/pii/S2351989421002195,
Aptenoydes patagonicus,Myctophidae,Myctophidae,Pisces,Huidobro & Oporto (2018),https://repositorio.uc.cl/xmlui/handle/11534/45383,Regurgited
Aptenoydes patagonicus,Patagonotothen tessellata,Patagonotothen tessellata,Pisces,Pütz et al. (2021),,
Aptenoydes patagonicus,Sprattus fuegensis,Sprattus fuegensis,Pisces,Huidobro & Oporto (2018),https://repositorio.uc.cl/xmlui/handle/11534/45382,Regurgited
Arbacia dufresnii,Macrocystis pyrifera,Brown Algae,Macroalgae,Newcombe et al. (2012),https://www.int-res.com/abstracts/ab/v15/n2/p135-144,
Arbacia dufresnii,Forams,Foraminifera,Foraminifera,Castro et al. (2022),,
Arbacia dufresnii,Ulva sp.,Green Algae,Macroalgae,Castro et al. (2022),,
Arbacia dufresnii,Ostracods,Ostracoda,Ostracoda,Castro et al. (2022),,
Arbacia dufresnii,Ceramium sp.,Red Algae,Macroalgae,Castro et al. (2022),,
Arbacia dufresnii,Heterosiphonia sp.,Red Algae,Macroalgae,Castro et al. (2022),,
Arctocephalus australis,Merluccius australis,Merluccius australis,Pisces,,http://cybertesis.uach.cl/tesis/uach/2012/fcv297h/doc/fcv297h.pdf,
Arctocephalus australis,Myctophidae,Myctophidae,Pisces,,http://cybertesis.uach.cl/tesis/uach/2012/fcv297h/doc/fcv297h.pdf,
Aulacomya atra,Phytoplankton,Phytoplankton,Phytoplankton,,,
Aulacomya atra,Zooplankton,Zooplankton,Zooplankton,,,
Austrochlamys natans,Phytoplankton,Phytoplankton,Phytoplankton,,,
Austrolycus depressiceps,Isopoda,Isopoda,Isopoda,Reyes & Hüne (2012),Peces del sur de Chile,
Austrolycus depressiceps,Patagonotothen cornucola,Patagonotothen cornucola,Pisces,Reyes & Hüne (2012),Peces del sur de Chile,
Austrolycus depressiceps,Polychaetes,Polychaeta,Polychaeta,Reyes & Hüne (2012),Peces del sur de Chile,
Bathylagichthys parini (larvae),Bivalvia larva,Bivalvia (larvae),Bivalvia,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8,Gut content
Bathylagichthys parini (larvae),Calanoid copepodite,Copepoda,Copepoda,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8,Gut content
Bathylagichthys parini (larvae),Copepod egg,Copepoda (egg),Copepoda,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8,Gut content
Bathylagichthys parini (larvae),Copepod nauplius,Copepoda (nauplius),Copepoda,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8,Gut content
Bathylagichthys parini (larvae),Appendicularia fecal pellet,Detritus,Detritus,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8,Gut content
Bathylagichthys parini (larvae),Ostracods,Ostracoda,Ostracoda,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8,Gut content
Bathylagichthys parini (larvae),Fragilaria sp.,Planktonic Diatom,Phytoplankton,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8,Gut content
Bathylagichthys parini (larvae),Salp,Salp,Tunicata,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8,Gut content
Benthic Decapoda,Mytilus sp.,Mytilus sp.,Bivalvia,,,
Bivalvia,Phytoplankton,Phytoplankton,Phytoplankton,,,
Bivalvia (larvae),Diatoms,Benthic Diatom,Phytoplankton,,,
Bivalvia (larvae),Chaetoceros sp.,Planktonic Diatom,Phytoplankton,,https://www.sciencedirect.com/science/article/pii/S0044848603002722,
Brachiopoda,Phytoplankton,Phytoplankton,Phytoplankton,,,
Bryozoa,Phytoplankton,Phytoplankton,Phytoplankton,,,
Bryozoa,Zooplankton,Zooplankton,Zooplankton,,,
Bunodactis octoradiata,Exosphaeroma gigas,Exosphaeroma gigas,Crustacea,Andrade C & Ríos C (2007),http://analesdelinstitutodelapatagonia.cl/index.php/analespatagonia/article/view/386,In situ observation
Calanoid Copepodite,Phytoplankton,Phytoplankton,Phytoplankton,,,
Calidris canutus,Darina solenoides,Bivalvia,Bivalvia,Espoz et al. (2008),https://www.researchgate.net/publication/262687507_Trophic_ecology_of_the_Red_Knot_Calidris_canutus_rufa_at_Bahia_Lomas_Tierra_del_Fuego_Chile?enrichId=rgreq-8c958f7066ac761a5d05454e0c0e8de9-XXX&enrichSource=Y292ZXJQYWdlOzI2MjY4NzUwNztBUzoxNDE3ODM2MTkwODQyODhAMTQxMDgxNTI1NzkyOQ%3D%3D&el=1_x_2&_esc=publicationCoverPdf,"SIA (bone, feathers, muscle)"
Callorhinchus callorynchus,Bivalves,Bivalvia,Bivalvia,Di Giacomo & Perier (1996),https://www.publish.csiro.au/mf/mf9960801,
Campylonotus vagans,Zooplankton,Zooplankton,Zooplankton,,,
Cephalopoda,Crustaceans,Benthic Decapoda,Decapoda,,,
Cephalopoda,Bivalves,Bivalvia,Bivalvia,,,
Cephalorhynchus commersonii commersonii,Campylonotus vagans,Benthic Decapoda,Decapoda,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-16,SIA (bone collagen) - Stomach contents
Cephalorhynchus commersonii commersonii,Munida gregaria,Benthic Decapoda,Decapoda,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-14,SIA (bone collagen) - Stomach contents
Cephalorhynchus commersonii commersonii,Doryteuthis gahi,Doryteuthis gahi,Cephalopoda,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-12,SIA (bone collagen) - Stomach contents
Cephalorhynchus commersonii commersonii,Eleginops maclovinus,Eleginops maclovinus,Pisces,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-7,SIA (bone collagen) - Stomach contents
Cephalorhynchus commersonii commersonii,Enteroctopus megalocyathus,Enteroctopus megalocyathus,Cephalopoda,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-13,SIA (bone collagen) - Stomach contents
