resource,consumer,Prey group,Reference,URL/DOI,Observation
Harpagifer bispinis,Antholoba achates,Pisces,Andrade (pers. comm.),,In situ observation (laboratory)
Sprattus fuegensis,Aptenoydes patagonicus,Pisces,Huidobro & Oporto (2018),https://repositorio.uc.cl/xmlui/handle/11534/45382,Regurgited
Myctophidae,Aptenoydes patagonicus,Pisces,Huidobro & Oporto (2018),https://repositorio.uc.cl/xmlui/handle/11534/45383,Regurgited
Fragilaria sp.,Bathylagichthys parini (larvae),Diatoms,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8,Gut content
Bivalvia larva,Bathylagichthys parini (larvae),Bivalvia,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8,Gut content
Copepod egg,Bathylagichthys parini (larvae),Copepoda,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8,Gut content
Copepod nauplius,Bathylagichthys parini (larvae),Copepoda,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8,Gut content
Calanoid copepodite,Bathylagichthys parini (larvae),Copepoda,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8,Gut content
Ostracods,Bathylagichthys parini (larvae),Ostracoda,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8,Gut content
Salp,Bathylagichthys parini (larvae),Tunicata,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8,Gut content
Appendicularia fecal pellet,Bathylagichthys parini (larvae),Tunicata,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8,Gut content
Exosphaeroma gigas,Bunodactis octoradiata,Crustacea,Andrade C & Ríos C (2007),http://analesdelinstitutodelapatagonia.cl/index.php/analespatagonia/article/view/386,In situ observation
Darina solenoides,Calidris canutus,Bivalvia,Espoz et al. (2008),https://www.researchgate.net/publication/262687507_Trophic_ecology_of_the_Red_Knot_Calidris_canutus_rufa_at_Bahia_Lomas_Tierra_del_Fuego_Chile?enrichId=rgreq-8c958f7066ac761a5d05454e0c0e8de9-XXX&enrichSource=Y292ZXJQYWdlOzI2MjY4NzUwNztBUzoxNDE3ODM2MTkwODQyODhAMTQxMDgxNTI1NzkyOQ%3D%3D&el=1_x_2&_esc=publicationCoverPdf,"SIA (bone, feathers, muscle)"
Patagonotothen spp.,Cephalorhynchus commersonii commersonii,Pisces,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-5,SIA (bone collagen) - Stomach contents
Zoarcids,Cephalorhynchus commersonii commersonii,Pisces,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-6,SIA (bone collagen) - Stomach contents
Eleginops maclovinus,Cephalorhynchus commersonii commersonii,Pisces,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-7,SIA (bone collagen) - Stomach contents
Odontesthes spp.,Cephalorhynchus commersonii commersonii,Pisces,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-8,SIA (bone collagen) - Stomach contents
Sprattus fuegensis,Cephalorhynchus commersonii commersonii,Pisces,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-9,SIA (bone collagen) - Stomach contents
Macruronus magellanicus,Cephalorhynchus commersonii commersonii,Pisces,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-10,SIA (bone collagen) - Stomach contents
Illex argentinus,Cephalorhynchus commersonii commersonii,Cephalopoda,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-11,SIA (bone collagen) - Stomach contents
Doryteuthis gahi,Cephalorhynchus commersonii commersonii,Cephalopoda,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-12,SIA (bone collagen) - Stomach contents
Enteroctopus megalocyathus,Cephalorhynchus commersonii commersonii,Cephalopoda,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-13,SIA (bone collagen) - Stomach contents
Munida gregaria,Cephalorhynchus commersonii commersonii,Benthic decapoda,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-14,SIA (bone collagen) - Stomach contents
Halicarcinus planatus,Cephalorhynchus commersonii commersonii,Benthic decapoda,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-15,SIA (bone collagen) - Stomach contents
Campylonotus vagans,Cephalorhynchus commersonii commersonii,Benthic decapoda,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-16,SIA (bone collagen) - Stomach contents
Patagonotothen tessellata,Champsocephalus esox,Pisces,Landaeta et al. (2020),https://www.cambridge.org/core/journals/antarctic-science/article/abs/shape-condition-and-diet-of-the-pike-icefish-champsocephalus-esox-teleostei-channichthyidae-evidence-of-phenotypic-plasticity/F45F7393F50141A0E3999A96CA55B1DC,Stomach content
Patagonotothen cornucola,Champsocephalus esox,Pisces,Landaeta et al. (2020),https://www.cambridge.org/core/journals/antarctic-science/article/abs/shape-condition-and-diet-of-the-pike-icefish-champsocephalus-esox-teleostei-channichthyidae-evidence-of-phenotypic-plasticity/F45F7393F50141A0E3999A96CA55B1DC,Gut content
Patagonotothen sima,Champsocephalus esox,Pisces,Landaeta et al. (2020),https://www.cambridge.org/core/journals/antarctic-science/article/abs/shape-condition-and-diet-of-the-pike-icefish-champsocephalus-esox-teleostei-channichthyidae-evidence-of-phenotypic-plasticity/F45F7393F50141A0E3999A96CA55B1DC,Gut content
Macrocystis pyrifera,Crepipatella dilatata,Brown algae,C. Andrade (pers. comm.),,Gut content
Gammaridae,Eleginops maclovinus,Amphipoda,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,In situ observation
Tanaidae,Eleginops maclovinus,Malacostraca,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,Stomach content
Ulva sp.,Eleginops maclovinus,Green algae,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,Stomach content
Exosphaeroma gigas,Eleginops maclovinus,Isopoda,Andrade (pers. comm.),,Stomach content
Munida gregaria,Genypterus blacodes,Benthic decapoda,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,Observation in stomach content
Amphipoda,Genypterus blacodes,Amphipoda,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,Stomach content
Merluccius sp.,Genypterus blacodes,Pisces,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,Stomach content
Patagonotothen sp.,Genypterus blacodes,Pisces,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,Stomach content
Odontesthes spp.,Genypterus blacodes,Pisces,Haro D. (2019),https://repositorio.uchile.cl/handle/2250/187376,Stomach content
Sprattus fuegensis,Genypterus blacodes,Pisces,Zuleta & Rubilar (2010),http://docplayer.es/46981536-Impacto-del-desarrollo-de-una-pesqueria-de-sardina-austral-sprattus-fueguensis-en-aguas-interiores-de-las-regiones-x-xii.html,Stomach content
Lithodes santolla,Genypterus blacodes,Benthic decapoda,Andrade (pers. comm.),,Stomach content
Detritus,Halicarcinus planatus,Detritus,C. Andrade (pers. comm.),,Observed in stomach content
Exosphaeroma gigas,Labidiaster radiosus,Isopoda,C. Andrade (pers. comm.),,
Enteroctopus megalocyathus,Lagenorhynchus australis,Cephalopoda,Schiavini et al. (1997),https://www.vliz.be/imisdocs/publications/232079.pdf,In situ observation
Macruronus magellanicus,Lagenorhynchus australis,Pisces,Schiavini et al. (1997),https://www.vliz.be/imisdocs/publications/232079.pdf,Stomach content
Genypterus blacodes,Lagenorhynchus australis,Pisces,Schiavini et al. (1997),https://www.vliz.be/imisdocs/publications/232079.pdf,Stomach content
Myxine australis,Lagenorhynchus australis,Myxini,Schiavini et al. (1997),https://www.vliz.be/imisdocs/publications/232079.pdf,Stomach content
Salilota australis,Lagenorhynchus australis,Pisces,Schiavini et al. (1997),https://www.vliz.be/imisdocs/publications/232079.pdf,Stomach content
Gaimardia trapesina,Larus dominicanus,Gastropoda,Hockey (1988),https://doi.org/10.1007/BF00379614,Stomach content
Mytilus chilensis,Larus dominicanus,Bivalvia,Andrade (pers. comm.),,In situ observation
Macrocystis pyrifera,Lithodes santolla,Brown algae,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/56,In situ observation
Hydrozoans,Lithodes santolla,Hydrozoa,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/57,Stomach content
Bryozoans,Lithodes santolla,Bryozoa,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/58,Stomach content
Sponges,Lithodes santolla,Porifera,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/59,Stomach content
Forams,Lithodes santolla,Foraminifera,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/60,Stomach content
Polychaetes,Lithodes santolla,Polychaeta,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/61,Stomach content
Echinoderms,Lithodes santolla,Echinodermata,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/62,Stomach content
Crustaceans,Lithodes santolla,Crustacea,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/63,Stomach content
Bivalves,Lithodes santolla,Bivalvia,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/64,Stomach content
Gastropods,Lithodes santolla,Gastropoda,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/65,Stomach content
Cephalopods,Lithodes santolla,Cephalopoda,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/66,Stomach content
Fish,Lithodes santolla,Pisces,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/67,Stomach content
Sediment,Lithodes santolla,Sediment,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/68,Stomach content
Detritus,Lithodes santolla,Detritus,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/69,Stomach content
Debris allocthonous,Lithodes santolla,Debris allocthonous,Andrade et al. (2022),https://www.mdpi.com/1424-2818/14/1/69,Stomach content
Amphipoda,Lithodes santolla (juvenile),Amphipoda,Pardo et al.(2021),https://www.mdpi.com/1424-2818/13/11/556,Stomach content
