resource,consumer,Prey group,Reference,URL/DOI,Observation
Antholoba achates,Harpagifer bispinis,Pisces,Andrade (pers. comm.),,In situ observation (laboratory)
Aptenoydes patagonicus,Sprattus fuegensis,Pisces,Huidobro & Oporto (2018),https://repositorio.uc.cl/xmlui/handle/11534/45382,Regurgited
Aptenoydes patagonicus,Myctophidae,Pisces,Huidobro & Oporto (2018),https://repositorio.uc.cl/xmlui/handle/11534/45383,Regurgited
Bathylagichthys parini (larvae),Fragilaria sp.,Diatoms,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8,Gut content
Bathylagichthys parini (larvae),Bivalvia larva,Bivalvia,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8,Gut content
Bathylagichthys parini (larvae),Copepod egg,Copepoda,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8,Gut content
Bathylagichthys parini (larvae),Copepod nauplius,Copepoda,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8,Gut content
Bathylagichthys parini (larvae),Calanoid copepodite,Copepoda,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8,Gut content
Bathylagichthys parini (larvae),Ostracods,Ostracoda,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8,Gut content
Bathylagichthys parini (larvae),Salp,Tunicata,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8,Gut content
Bathylagichthys parini (larvae),Appendicularia fecal pellet,Tunicata,Salas-Berrios et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1359-8,Gut content
Bunodactis octoradiata,Exosphaeroma gigas,Crustacea,Andrade C & Ríos C (2007),http://analesdelinstitutodelapatagonia.cl/index.php/analespatagonia/article/view/386,In situ observation
Calidris canutus,Darina solenoides,Bivalvia,Espoz et al. (2008),https://www.researchgate.net/publication/262687507_Trophic_ecology_of_the_Red_Knot_Calidris_canutus_rufa_at_Bahia_Lomas_Tierra_del_Fuego_Chile?enrichId=rgreq-8c958f7066ac761a5d05454e0c0e8de9-XXX&enrichSource=Y292ZXJQYWdlOzI2MjY4NzUwNztBUzoxNDE3ODM2MTkwODQyODhAMTQxMDgxNTI1NzkyOQ%3D%3D&el=1_x_2&_esc=publicationCoverPdf,"SIA (bone, feathers, muscle)"
Calidris canutus,Aricidea sp.,Polychaeta,Espoz et al. (2008),https://www.researchgate.net/publication/262687507_Trophic_ecology_of_the_Red_Knot_Calidris_canutus_rufa_at_Bahia_Lomas_Tierra_del_Fuego_Chile?enrichId=rgreq-8c958f7066ac761a5d05454e0c0e8de9-XXX&enrichSource=Y292ZXJQYWdlOzI2MjY4NzUwNztBUzoxNDE3ODM2MTkwODQyODhAMTQxMDgxNTI1NzkyOQ%3D%3D&el=1_x_2&_esc=publicationCoverPdf,"SIA (bone, feathers, muscle)"
Cephalorhynchus commersonii commersonii,Patagonotothen spp.,Pisces,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-5,SIA (bone collagen) - Stomach contents
Cephalorhynchus commersonii commersonii,Zoarcids,Pisces,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-6,SIA (bone collagen) - Stomach contents
Cephalorhynchus commersonii commersonii,Eleginops maclovinus,Pisces,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-7,SIA (bone collagen) - Stomach contents
Cephalorhynchus commersonii commersonii,Odontesthes spp.,Pisces,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-8,SIA (bone collagen) - Stomach contents
Cephalorhynchus commersonii commersonii,Sprattus fuegensis,Pisces,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-9,SIA (bone collagen) - Stomach contents
Cephalorhynchus commersonii commersonii,Macruronus magellanicus,Pisces,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-10,SIA (bone collagen) - Stomach contents
Cephalorhynchus commersonii commersonii,Illex argentinus,Cephalopoda,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-11,SIA (bone collagen) - Stomach contents
Cephalorhynchus commersonii commersonii,Doryteuthis gahi,Cephalopoda,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-12,SIA (bone collagen) - Stomach contents
Cephalorhynchus commersonii commersonii,Enteroctopus megalocyathus,Cephalopoda,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-13,SIA (bone collagen) - Stomach contents
Cephalorhynchus commersonii commersonii,Munida gregaria,Benthic decapoda,Riccialdelli et al. (2013),https://link.springer.com/article/10.1007/s00300-013-1289-14,SIA (bone collagen) - Stomach contents
