resource,consumer
Harpagifer bispinis,Antholoba achates
Sprattus fuegensis,Aptenoydes patagonicus
Myctophidae,Aptenoydes patagonicus
Fragilaria sp.,Bathylagichthys parini (larvae)
Bivalvia larva,Bathylagichthys parini (larvae)
Copepod egg,Bathylagichthys parini (larvae)
Copepod nauplius,Bathylagichthys parini (larvae)
Calanoid copepodite,Bathylagichthys parini (larvae)
Ostracoda,Bathylagichthys parini (larvae)
Salp,Bathylagichthys parini (larvae)
Appendicularia fecal pellet,Bathylagichthys parini (larvae)
Exophaeroma gigas,Bunodactis octoradiata
Darina solenoides,Calidris canutus
Aricidea sp.,Calidris canutus
Patagonotothen spp.,Cephalorhynchus commersonii commersonii
Zoarcids,Cephalorhynchus commersonii commersonii
Eleginops maclovinus,Cephalorhynchus commersonii commersonii
Odontesthes spp.,Cephalorhynchus commersonii commersonii
Sprattus fuegensis,Cephalorhynchus commersonii commersonii
Macruronus magellanicus,Cephalorhynchus commersonii commersonii
Illex argentinus,Cephalorhynchus commersonii commersonii
Doryteuthis  gahi,Cephalorhynchus commersonii commersonii
Enteroctopus megalocyathus,Cephalorhynchus commersonii commersonii
Munida gregaria,Cephalorhynchus commersonii commersonii
Halicarcinus planatus,Cephalorhynchus commersonii commersonii
Campylonotus vagans,Cephalorhynchus commersonii commersonii
Patagonotothen sp.,Champsocephalus esox
Patagonotothen tessellata,Champsocephalus esox
Patagonotothen cornucola,Champsocephalus esox
Patagonotothen sima,Champsocephalus esox
Macrocystis pyrifera,Crepipatella dilatata
Gammaridae,Eleginops maclovinus
Tanaidae,Eleginops maclovinus
Chlorophyta,Eleginops maclovinus
Exosphaeroma gigas,Eleginops maclovinus
Munida gregaria,Genypterus blacodes
Amphipoda,Genypterus blacodes
Merluccius sp.,Genypterus blacodes
Patagonotothen sp.,Genypterus blacodes
Odontesthes sp.,Genypterus blacodes
Sprattus fueguensis,Genypterus blacodes
Lithodes santolla,Genypterus blacodes
Detritus,Halicarcinus planatus
Exophaeroma gigas,Labidiaster radiosus
Enteroctopus megalocyathus,Lagenorhynchus australis
Macruronus magellanicus,Lagenorhynchus australis
Genypterus blacodes,Lagenorhynchus australis
Myxine australis,Lagenorhynchus australis
Salilota australis,Lagenorhynchus australis
Gaimardia sp.,Larus dominicanus
Mytilus chilensis,Larus dominicanus
Macrocystis pyrifera,Lithodes santolla
Hydrozoans,Lithodes santolla
Bryozoans,Lithodes santolla
Sponges,Lithodes santolla
Foraminifera,Lithodes santolla
Polychaetes,Lithodes santolla
Echinoderms,Lithodes santolla
Crustaceans,Lithodes santolla
Bivalves,Lithodes santolla
Gastropods,Lithodes santolla
Cephalopods,Lithodes santolla
Fish,Lithodes santolla
Sediment,Lithodes santolla
Detritus,Lithodes santolla
Debris allocthonus,Lithodes santolla
Amphipoda,Lithodes santolla (juvenile)
Bivalves,Lithodes santolla (juvenile)
