"","membership"
"Mytilus sp.",1
"Perumytilus purpuratus",1
"Phytodetritus",1
"Bivalvia",1
"Gastropoda",1
"Harpagifer bispinis",1
"Zooplankton",1
"Doryteuthis gahi",1
"Myctophidae",1
"Patagonotothen tessellata",1
"Sprattus fuegensis",1
"Brown algae",1
"Foraminifera",1
"Green algae",1
"Ostracoda",1
"Red algae",1
"Merluccius australis",1
"Phytoplankton",1
"Isopoda",1
"Patagonotothen cornucola",1
"Polychaeta",1
"Bivalvia (larvae)",1
"Calanoid (copepodite)",1
"Copepoda (egg)",1
"Copepoda (nauplius)",1
"Detritus",1
"Plankton diatom",1
"Salp",1
"Benthic diatom",1
"Exosphaeroma gigas",1
"Benthic decapoda",1
"Eleginops maclovinus",1
"Enteroctopus megalocyathus",1
"Halicarcinus planatus",1
"Illex argentinus",1
"Macruronus magellanicus",1
"Odontesthes sp.",1
"Patagonotothen sp.",1
"Zoarcidae",1
"Patagonotothen sima",1
"Amphipoda",1
"Nanoflagellates",1
"Arbacia dufresnii",1
"Loxechinus albus",1
"Pseudechinus magellanicus",1
"Grimothea gregaria",1
"Peltarion spinulosum",1
"Genypterus blacodes",1
"Lithodes santolla",1
"Salilota australis",1
"Acanthocyclus albatrossis",1
"Brachiopoda",1
"Cephalopoda",1
"Copepoda",1
"Cyanobacteria",1
"Sediment",1
"Tanaidae",1
"Bryozoa",1
"Pagurus sp.",1
"Merluccius sp.",1
"Euphausia lucens",1
"Myxine australis",1
"Bassanago sp.",1
"Hydrozoa",1
"Porifera",1
"Nacella deaurata",1
"Polyplacophora",1
"Cottoperca gobio",1
"Prolatilus jugularis",1
"Euphausia vallentini",1
"Chironomidae",1
"Cirripedia",1
"Margarella violacea",1
"Notochthamalus scabrosus",1
"Dissostichus eleginoides",1
"Otaria flavescens",1
"Tachyeres pteneres",1
"Callorhinchus callorynchus",1
"Cilus gilberti",1
"Mustelus mento",1
"Oncorhynchus sp.",1
"Paralabrax humeralis",1
"Pinguipes chilensis",1
"Salmo salar",1
"Thyrsites atun",1
"Trachurus murphyi",1
"Paracalanus indicus",1
"Pluteus (larva)",1
"Aulacomya atra",1
"Martialia hyadesii",1
"Austrolycus depressiceps",1
"Ramnogaster arcuata",1
"Crustacea",1
"Acanthina monodon",1
"Anasterias antarctica",1
"Antholoba achates",1
"Appendicularians",1
"Aptenoydes patagonicus",1
"Arctocephalus australis",1
"Austrochlamys natans",1
"Bathylagichthys parini (larvae)",1
"Bunodactis octoradiata",1
"Calidris canutus",1
"Campylonotus vagans",1
"Cephalorhynchus commersonii commersonii",1
"Champsocephalus esox",1
"Chloephaga hybrida",1
"Cosmasterias lurida",1
"Crepipatella dilatata",1
"Darina solenoides",1
"Eurypodius latreillei",1
"Fissurella oriens",1
"Fissurella radiosa",1
"Gaimardia trapesina",1
"Gammaridae",1
"Labidiaster radiosus",1
"Lagenorhynchus australis",1
"Larus dominicanus",1
"Lithodes santolla (juvenile)",1
"Lontra felina",1
"Maurolicus australis (larvae)",1
"Megaptera novaeangliae",1
"Nacella magellanica",1
"Nacella mytilina",1
"Ophiactis asperula",1
"Ophiuroglypha lymani",1
"Orcinus orca",1
"Paraeuthria fuscata",1
"Paralomis granulosa",1
"Patagonotothen tessellata (larvae)",1
"Platynereis australis",1
"Plaxiphora aurata",1
"Psedechinus magellanicus",1
"Pseudorca crassidens",1
"Siphonaria lessonii",1
"Spheniscus magellanicus",1
"Stercorarius chilensis",1
"Tegula atra",1
"Themisto gaudichaudii",1
"Trophon geversianus",1
