"","TrophicSpecies","Group","TotalDegree","NumPrey","NumPred","Between","Closeness","TL","Omn","deg_rank","btw_rank","clo_rank","Keystone_ind","Keystone_rank","TopRole","within_module_degree","among_module_conn"
"1","Mytilus sp.","Bivalvia",12,2,10,25.695670995671,0.00298507462686567,2.5,0.25,12,16,15,14.3333333333333,12,"modspe",0.554177938891751,0.583333333333333
"2","Perumytilus purpuratus","Bivalvia",4,2,2,1.83333333333333,0.00238095238095238,2.5,0.25,20,58,64,47.3333333333333,61,"modspe",-0.0922917528326899,0.375
"3","Phytodetritus","Non-living",9,0,9,0,0.0026525198938992,1,0,15,72,35,40.6666666666667,49,"modcon",0.566262984154613,0.691358024691358
"4","Bivalvia","Bivalvia",15,1,14,10.7054112554113,0.00297619047619048,2,0,9,27,16,17.3333333333333,16,"modspe",1.57727567223037,0.417777777777778
"5","Gastropoda","Gastropoda",8,1,7,1.85497835497835,0.00268096514745308,2,0,16,57,33,35.3333333333333,39,"modspe",0.554177938891751,0.21875
"6","Harpagifer bispinis","Teleostei",8,5,3,40.4611111111111,0.0026525198938992,3.158,0.039,16,8,35,19.6666666666667,18,"modspe",0.513203591590516,0.53125
"7","Zooplankton","Zooplankton",17,1,16,5.28354978354978,0.00314465408805031,2,0,7,41,7,18.3333333333333,17,"modspe",2.32541528981308,0.532871972318339
"8","Doryteuthis gahi","Cephalopoda",11,2,9,20.0833333333333,0.00260416666666667,4.167,0.111,13,18,39,23.3333333333333,20,"modspe",1.50099068109041,0
"9","Myctophidae","Teleostei",5,1,4,8.58333333333333,0.00248756218905473,3.333,0,19,30,53,34,37,"modspe",-0.0928260439178382,0.48
"10","Patagonotothen tessellata","Teleostei",12,8,4,38.6214285714286,0.00294117647058824,3.191,0.727,12,9,18,13,9,"modcon",0.168335403486775,0.652777777777778
"11","Sprattus fuegensis","Teleostei",17,4,13,98.1393217893218,0.003003003003003,2.833,0.25,7,2,14,7.66666666666667,6,"modspe",2.30058384765259,0.311418685121107
"12","Brown algae","Macroalgae",21,0,21,0,0.00303030303030303,1,0,5,72,13,30,30,"modhub",2.6725114657546,0.458049886621315
"13","Foraminifera","Foraminifera",12,3,9,21.0159090909091,0.00306748466257669,2.444,0.395,12,17,10,13,9,"modspe",0.583967801000362,0.597222222222222
"14","Green algae","Macroalgae",10,0,10,0,0.00284090909090909,1,0,14,72,21,35.6666666666667,40,"modspe",0.0618318848118029,0.62
"15","Ostracoda","Ostracoda",12,3,9,17.9004329004329,0.00313479623824451,2.333,0.222,12,20,8,13.3333333333333,10,"modcon",-0.0974910747054314,0.75
"16","Red algae","Macroalgae",10,0,10,0,0.00284900284900285,1,0,14,72,20,35.3333333333333,39,"modspe",0.583967801000362,0.46
"17","Merluccius australis","Teleostei",3,1,2,6,0.00233100233100233,3.833,0,21,34,70,41.6666666666667,50,"modspe",-0.897788818596132,0.444444444444444
"18","Phytoplankton","Phytoplankton",28,0,28,0,0.0032258064516129,1,0,1,72,4,25.6666666666667,23,"hubcon",3.7873025918478,0.653061224489796
