"","ID","TrophicSpecies","TotalDegree","NumPrey","NumPred","Between","Closeness","TL","Omn","deg_rank","btw_rank","clo_rank","Keystone_ind","Keystone_rank"
"1",1,"Mytilus sp.",12,2,10,25.695670995671,0.0029585798816568,2.5,0.25,12,16,16,14.6666666666667,12
"2",2,"Perumytilus purpuratus",4,2,2,1.83333333333333,0.00235849056603774,2.5,0.25,20,57,67,48,58
"3",3,"Phytodetritus",9,0,9,0,0.00263157894736842,1,0,15,71,36,40.6666666666667,45
"4",4,"Bivalvia",15,1,14,10.7054112554113,0.00294985250737463,2,0,9,27,17,17.6666666666667,15
"5",5,"Gastropoda",8,1,7,1.85497835497835,0.00265957446808511,2,0,16,56,34,35.3333333333333,37
"6",6,"Harpagifer bispinis",8,5,3,40.4611111111111,0.00263157894736842,3.158,0.039,16,7,36,19.6666666666667,17
"7",7,"Zooplankton",17,1,16,5.28354978354978,0.00311526479750779,2,0,7,41,7,18.3333333333333,16
"8",8,"Doryteuthis gahi",11,2,9,21.5833333333333,0.00257731958762887,4.167,0.111,13,17,42,24,20
"9",9,"Myctophidae",5,1,4,9.58333333333333,0.00246913580246914,3.333,0,19,28,56,34.3333333333333,36
"10",10,"Patagonotothen tessellata",12,8,4,38.6214285714286,0.00291545189504373,3.191,0.727,12,10,19,13.6666666666667,9
"11",11,"Sprattus fuegensis",17,4,13,101.139321789322,0.00297619047619048,2.833,0.25,7,2,15,8,6
"12",12,"Brown algae",21,0,21,0,0.003003003003003,1,0,5,71,13,29.6666666666667,28
"13",13,"Foraminifera",12,3,9,20.0159090909091,0.00303951367781155,2.444,0.395,12,18,11,13.6666666666667,9
"14",14,"Green algae",10,0,10,0,0.0028169014084507,1,0,14,71,22,35.6666666666667,38
"15",15,"Ostracoda",12,3,9,16.9004329004329,0.00309597523219814,2.333,0.222,12,21,9,14,10
"16",16,"Red algae",10,0,10,0,0.00282485875706215,1,0,14,71,21,35.3333333333333,37
"17",17,"Merluccius australis",3,1,2,6,0.0023094688221709,3.833,0,21,34,73,42.6666666666667,47
"18",18,"Phytoplankton",28,0,28,0,0.00319488817891374,1,0,1,71,4,25.3333333333333,22
"19",19,"Isopoda",9,3,6,32.5777777777778,0.00291545189504373,2,0,15,12,19,15.3333333333333,13
"20",20,"Patagonotothen cornucola",6,2,4,5.86666666666667,0.00253164556962025,3.75,0.562,18,36,48,34,35
"21",21,"Polychaeta",21,8,13,123.845238095238,0.0033112582781457,2.458,0.359,5,1,2,2.66666666666667,2
"22",22,"Bivalvia (larvae)",5,2,3,4.5,0.00224719101123596,2,0,19,42,75,45.3333333333333,53
"23",23,"Calanoid (copepodite)",4,1,3,1.83333333333333,0.00235294117647059,2,0,20,57,68,48.3333333333333,59
"24",24,"Copepoda (egg)",3,0,3,0,0.00194931773879142,1,0,21,71,92,61.3333333333333,84
"25",25,"Copepoda (nauplius)",4,1,3,2.5,0.00195694716242661,2,0,20,51,91,54,70
"26",26,"Detritus",24,0,24,0,0.00321543408360129,1,0,2,71,3,25.3333333333333,22
"27",27,"Plankton diatom",8,0,8,0,0.002710027100271,1,0,16,71,30,39,42
"28",28,"Salp",5,3,2,4.16666666666667,0.00261096605744125,2.444,0.395,19,44,38,33.6666666666667,34
"29",29,"Benthic diatom",5,0,5,0,0.00258397932816537,1,0,19,71,41,43.6666666666667,49
"30",30,"Exosphaeroma gigas",7,1,6,5.53888888888889,0.00266666666666667,2,0,17,37,33,29,26
"31",31,"Benthic decapoda",22,1,21,46.2194805194805,0.00316455696202532,3.5,0,4,5,5,4.66666666666667,3
"32",32,"Eleginops maclovinus",23,20,3,60.827886002886,0.00333333333333333,3.17,0.789,3,3,1,2.33333333333333,1
"33",33,"Enteroctopus megalocyathus",5,2,3,3.89285714285714,0.00265957446808511,3.75,0.562,19,45,34,32.6666666666667,33
"34",34,"Halicarcinus planatus",4,1,3,0.833333333333333,0.0025706940874036,2,0,20,65,43,42.6666666666667,47
"35",35,"Illex argentinus",7,4,3,11.1678571428571,0.00263852242744063,3.625,0.811,17,24,35,25.3333333333333,22
"36",36,"Macruronus magellanicus",8,2,6,11.0595238095238,0.00252525252525253,4.167,0.111,16,25,49,30,29
"37",37,"Odontesthes sp.",9,2,7,13.3672799422799,0.00261780104712042,3,0,15,23,37,25,21
"38",38,"Patagonotothen sp.",10,4,6,38.9007936507937,0.00286532951289398,3.24,0.808,14,9,20,14.3333333333333,11
