"","ID","TrophicSpecies","TotalDegree","NumPrey","NumPred","Between","TL","Omn"
"1",1,"Perumytilus purpuratus",4,2,2,1.66666666666667,2.5,0.25
"2",2,"Mytilus chilensis",9,2,7,7.72619047619048,2.5,0.25
"3",3,"Detritus",15,0,15,0,1,0
"4",4,"Phytodetritus",9,0,9,0,1,0
"5",5,"Trophon geversianus",6,4,2,4,3.125,0.422
"6",6,"Aulacomya atra",5,2,3,2.5,2.5,0.25
"7",7,"Harpagifer bispinis",8,5,3,29.1190476190476,2.933,0.24
"8",8,"Sprattus fuegensis",24,14,10,235.942857142857,2.238,0.213
"9",9,"Myctophidae",4,1,3,6.76785714285714,3.333,0
"10",10,"Doryteuthis gahi",7,2,5,29.375,3.119,0.014
"11",11,"Patagonotothen tessellata",12,9,3,36.9716374269006,2.665,0.369
"12",12,"Macrocystis pyrifera",13,0,13,0,1,0
"13",13,"Ulva sp.",7,0,7,0,1,0
"14",14,"Ostracoda",11,4,7,41.3925647451963,2.25,0.187
"15",15,"Foraminifera",12,3,9,26.3801587301587,2.444,0.395
"16",16,"Ceramium sp.",3,0,3,0,1,0
"17",17,"Heterosiphonia sp.",2,0,2,0,1,0
"18",18,"Merluccius australis",3,1,2,16,3.238,0
"19",19,"Zooplankton",10,1,9,1.24285714285714,2,0
"20",20,"Phytoplankton",18,0,18,0,1,0
"21",21,"Fragilaria sp.",3,0,3,0,1,0
"22",22,"Bivalvia larva",5,2,3,6,2,0
"23",23,"Copepod egg",3,0,3,0,1,0
"24",24,"Copepod nauplius",4,1,3,2.5,2,0
"25",25,"Calanoid copepodite",4,1,3,2.5,2,0
"26",26,"Salp",5,3,2,4.6109649122807,2.444,0.395
"27",27,"Appendicularia fecal pellet",1,0,1,0,1,0
"28",28,"Chaetoceros sp.",2,0,2,0,1,0
"29",29,"Diatoms",4,0,4,0,1,0
"30",30,"Exosphaeroma gigas",7,1,6,4.03874269005848,2,0
"31",31,"Darina solenoides",5,2,3,5.6,2,0
"32",32,"Crustaceans",3,0,3,0,1,0
"33",33,"Bivalvia",7,1,6,4.47619047619048,2,0
"34",34,"Patagonotothen sp.",10,5,5,21.6666666666667,2.4,0.24
"35",35,"Zoarcids",4,2,2,2.19444444444444,2.5,0.25
"36",36,"Eleginops maclovinus",28,25,3,108.071303258145,2.668,0.493
"37",37,"Odontesthes spp.",4,2,2,4.51666666666667,3,0
"38",38,"Macruronus magellanicus",6,2,4,22.7804093567251,3.119,0.014
"39",39,"Illex argentinus",7,4,3,12.494298245614,3.113,0.578
"40",40,"Enteroctopus megalocyathus",5,2,3,187,3.043,1.088
"41",41,"Munida gregaria",20,5,15,90.9133040935672,2,0
"42",42,"Halicarcinus planatus",4,1,3,0.997076023391813,2,0
"43",43,"Campylonotus vagans",3,1,2,2.24285714285714,3,0
"44",44,"Patagonotothen cornucola",5,3,2,4.83333333333333,2.667,0.222
"45",45,"Patagonotothen sima",5,4,1,5.75,2.833,0.25
"46",46,"Macroalgae",9,0,9,0,1,0
"47",47,"Nanoflagellates",2,0,2,0,1,0
"48",48,"Austrochlamys natans",2,1,1,0.333333333333333,2,0
"49",49,"Pseudechinus magellanicus",6,3,3,15.5,2.898,0.41
"50",50,"Arbacia dufresnii",7,6,1,6.5,2.449,0.406
"51",51,"Loxechinus albus",7,6,1,10.5,2.322,0.519
"52",52,"Gammaridae",6,3,3,8.45208855472013,2.333,0.222
"53",53,"Tanaidae",5,3,2,5.5077903091061,2.333,0.222
"54",54,"Acanthocyclus albatrossis",3,1,2,6.14285714285714,3.5,0
"55",55,"Platynereis australis",4,2,2,3.54970760233918,2,0
"56",56,"Cephalopoda",5,2,3,11.5,2.5,0.25
"57",57,"Amphipoda",10,1,9,9,2,0
"58",58,"Enteromorpha sp.",1,0,1,0,1,0
"59",59,"Ectocarpus sp.",1,0,1,0,1,0
"60",60,"Rhizoclonium sp.",4,0,4,0,1,0
"61",61,"Cladophora sp.",1,0,1,0,1,0
