"","ID","TrophicSpecies","TotalDegree","NumPrey","NumPred","Between","Closeness","TL","Omn","deg_rank","btw_rank","clo_rank","Keystone_ind","Keystone_rank"
"1",1,"Mytilus sp.",12,2,10,25.695670995671,0.00298507462686567,2.5,0.25,12,16,15,14.3333333333333,12
"2",2,"Perumytilus purpuratus",4,2,2,1.83333333333333,0.00238095238095238,2.5,0.25,20,58,64,47.3333333333333,61
"3",3,"Phytodetritus",9,0,9,0,0.0026525198938992,1,0,15,72,35,40.6666666666667,49
"4",4,"Bivalvia",15,1,14,10.7054112554113,0.00297619047619048,2,0,9,27,16,17.3333333333333,16
"5",5,"Gastropoda",8,1,7,1.85497835497835,0.00268096514745308,2,0,16,57,33,35.3333333333333,39
"6",6,"Harpagifer bispinis",8,5,3,40.4611111111111,0.0026525198938992,3.158,0.039,16,8,35,19.6666666666667,18
"7",7,"Zooplankton",17,1,16,5.28354978354978,0.00314465408805031,2,0,7,41,7,18.3333333333333,17
"8",8,"Doryteuthis gahi",11,2,9,20.0833333333333,0.00260416666666667,4.167,0.111,13,18,39,23.3333333333333,20
"9",9,"Myctophidae",5,1,4,8.58333333333333,0.00248756218905473,3.333,0,19,30,53,34,37
"10",10,"Patagonotothen tessellata",12,8,4,38.6214285714286,0.00294117647058824,3.191,0.727,12,9,18,13,9
"11",11,"Sprattus fuegensis",17,4,13,98.1393217893218,0.003003003003003,2.833,0.25,7,2,14,7.66666666666667,6
"12",12,"Brown algae",21,0,21,0,0.00303030303030303,1,0,5,72,13,30,30
"13",13,"Foraminifera",12,3,9,21.0159090909091,0.00306748466257669,2.444,0.395,12,17,10,13,9
"14",14,"Green algae",10,0,10,0,0.00284090909090909,1,0,14,72,21,35.6666666666667,40
"15",15,"Ostracoda",12,3,9,17.9004329004329,0.00313479623824451,2.333,0.222,12,20,8,13.3333333333333,10
"16",16,"Red algae",10,0,10,0,0.00284900284900285,1,0,14,72,20,35.3333333333333,39
"17",17,"Merluccius australis",3,1,2,6,0.00233100233100233,3.833,0,21,34,70,41.6666666666667,50
"18",18,"Phytoplankton",28,0,28,0,0.0032258064516129,1,0,1,72,4,25.6666666666667,23
"19",19,"Isopoda",9,3,6,30.0777777777778,0.00294117647058824,2,0,15,13,18,15.3333333333333,13
"20",20,"Patagonotothen cornucola",6,2,4,5.86666666666667,0.00255102040816327,3.75,0.562,18,36,45,33,35
"21",21,"Polychaeta",21,8,13,120.845238095238,0.00333333333333333,2.458,0.359,5,1,2,2.66666666666667,2
"22",22,"Bivalvia (larvae)",5,2,3,4.5,0.00226757369614512,2,0,19,42,72,44.3333333333333,55
"23",23,"Calanoid (copepodite)",4,1,3,1.83333333333333,0.00237529691211401,2,0,20,58,65,47.6666666666667,62
"24",24,"Copepoda (egg)",3,0,3,0,0.00196463654223969,1,0,21,72,90,61,87
