"","ID","TrophicSpecies","TotalDegree","NumPrey","NumPred","Between","TL","Omn"
"1",1,"Perumytilus purpuratus",4,2,2,1.66666666666667,2,0
"2",2,"Mytilus chilensis",8,2,6,6.5,2,0
"3",3,"Phytodetritus",8,0,8,0,1,0
"4",4,"Trophon geversianus",6,4,2,4,2.75,0.187
"5",5,"Aulacomya atra",5,2,3,2.66666666666667,2,0
"6",6,"Harpagifer bispinis",8,5,3,19.5,2,0
"7",7,"Sprattus fuegensis",24,15,9,173.5,2.067,0.062
"8",8,"Myctophidae",1,0,1,0,1,0
"9",9,"Doryteuthis gahi",3,0,3,0,1,0
"10",10,"Patagonotothen tessellata",12,9,3,39.0333333333333,2.222,0.173
"11",11,"Macrocystis pyrifera",13,0,13,0,1,0
"12",12,"Ulva sp.",7,0,7,0,1,0
"13",13,"Ostracods",10,4,6,39.9166666666667,2,0
"14",14,"Forams",8,0,8,0,1,0
"15",15,"Ceramium sp.",3,0,3,0,1,0
"16",16,"Heterosiphonia sp.",2,0,2,0,1,0
"17",17,"Zooplankton",5,0,5,0,1,0
"18",18,"Phytoplankton",10,0,10,0,1,0
"19",19,"Fragilaria sp.",3,0,3,0,1,0
"20",20,"Bivalvia larva",5,2,3,6,2,0
"21",21,"Copepod egg",3,0,3,0,1,0
"22",22,"Copepod nauplius",4,1,3,2.5,2,0
"23",23,"Calanoid copepodite",4,1,3,2.5,2,0
"24",24,"Salp",5,3,2,4.5,2,0
"25",25,"Appendicularia fecal pellet",1,0,1,0,1,0
"26",26,"Chaetoceros sp.",2,0,2,0,1,0
"27",27,"Diatoms",2,0,2,0,1,0
"28",28,"Exosphaeroma gigas",4,1,3,2.45833333333333,2,0
"29",29,"Darina solenoides",5,2,3,6.83333333333333,2,0
"30",30,"Patagonotothen spp.",3,0,3,0,1,0
"31",31,"Zoarcids",1,0,1,0,1,0
"32",32,"Eleginops maclovinus",28,25,3,98.575,2.16,0.134
"33",33,"Odontesthes spp.",3,1,2,5.5,3,0
"34",34,"Macruronus magellanicus",4,1,3,14,3.067,0
"35",35,"Illex argentinus",3,0,3,0,1,0
"36",36,"Enteroctopus megalocyathus",5,2,3,6,2,0
"37",37,"Munida gregaria",16,5,11,69.8916666666667,2,0
"38",38,"Halicarcinus planatus",4,1,3,1.45833333333333,2,0
"39",39,"Campylonotus vagans",3,1,2,2,2,0
"40",40,"Patagonotothen cornucola",5,3,2,8.83333333333333,2.333,0.222
"41",41,"Patagonotothen sima",1,0,1,0,1,0
"42",42,"Macroalgae",5,0,5,0,1,0
"43",43,"Nanoflagellates",2,0,2,0,1,0
"44",44,"Austrochlamys natans",1,0,1,0,1,0
"45",45,"Pseudechinus magellanicus",2,0,2,0,1,0
"46",46,"Arbacia dufresnii",7,6,1,7.5,2.167,0.139
"47",47,"Loxechinus albus",7,6,1,10.5,2.167,0.139
"48",48,"Detritus",9,0,9,0,1,0
"49",49,"Gammaridae",3,0,3,0,1,0
"50",50,"Tanaidae",2,0,2,0,1,0
"51",51,"Acanthocyclus albatrossis ",1,0,1,0,1,0
"52",52,"Platynereis australis",2,0,2,0,1,0
"53",53,"Cephalopods",2,0,2,0,1,0
"54",54,"Amphipoda",6,1,5,8.9,2,0
"55",55,"Enteromorpha sp.",1,0,1,0,1,0
"56",56,"Ectocarpus sp.",1,0,1,0,1,0
"57",57,"Rhizoclonium sp.",3,0,3,0,1,0
"58",58,"Cladophora sp.",1,0,1,0,1,0
"59",59,"Oscillatoria sp.",3,0,3,0,1,0
"60",60,"Copepods",3,0,3,0,1,0
"61",61,"Isopoda",4,0,4,0,1,0
"62",62,"Decapoda",1,0,1,0,1,0
"63",63,"Acari",1,0,1,0,1,0
"64",64,"Appendicularians",1,0,1,0,1,0
"65",65,"Brachiopods",1,0,1,0,1,0
"66",66,"Fishes",2,0,2,0,1,0
"67",67,"Sediments",1,0,1,0,1,0
"68",68,"Tawera elliptica",1,0,1,0,1,0
"69",69,"Peltarion spinulosum",1,0,1,0,1,0
"70",70,"Centric diatoms",2,0,2,0,1,0
"71",71,"Pagurus sp.",2,1,1,0.5,2,0
"72",72,"Bryozoans",4,0,4,0,1,0
"73",73,"Merluccius sp.",1,0,1,0,1,0
"74",74,"Patagonotothen sp.",2,0,2,0,1,0
"75",75,"Lithodes santolla",19,16,3,66.875,2.062,0.059
"76",76,"Polychaetes",4,0,4,0,1,0
"77",77,"Exospheroma gigas",2,0,2,0,1,0
"78",78,"Genypterus blacodes",9,7,2,60.3166666666667,2.876,0.414
"79",79,"Myxine australis",1,0,1,0,1,0
"80",80,"Salilota australis",6,5,1,6.74166666666667,2.467,0.338
"81",81,"Gaimardia trapesina",3,1,2,0.833333333333333,2,0
"82",82,"Hydrozoans",3,0,3,0,1,0
"83",83,"Sponges",4,0,4,0,1,0
"84",84,"Echinoderms",2,0,2,0,1,0
"85",85,"Crustaceans",2,0,2,0,1,0
"86",86,"Bivalves",5,1,4,5.5,2,0
"87",87,"Gastropods",1,0,1,0,1,0
"88",88,"Fish",1,0,1,0,1,0
"89",89,"Sediment",3,0,3,0,1,0
"90",90,"Debris allocthonous",2,0,2,0,1,0
"91",91,"Sarcopeltis skottsbergii",2,0,2,0,1,0
"92",92,"Nacella spp.",1,0,1,0,1,0
"93",93,"Polyplacophora",1,0,1,0,1,0
"94",94,"Prolatilus jugularis",1,0,1,0,1,0
"95",95,"Cottoperca gobio",1,0,1,0,1,0
"96",96,"Acanthocyclus albatrossis",1,0,1,0,1,0
"97",97,"Taliepus dentatus",1,0,1,0,1,0
"98",98,"Cancer edwardsii",1,0,1,0,1,0
"99",99,"Rhodymenia falklandica",1,0,1,0,1,0
"100",100,"Lessonia flavicans",1,0,1,0,1,0
"101",101,"Callophyllis variegata",1,0,1,0,1,0
"102",102,"Euphausia lucens",2,1,1,0.5,2,0
"103",103,"Euphausia vallentini",3,2,1,1,2,0
"104",104,"Themisto gaudichaudii ",1,0,1,0,1,0
"105",105,"Serolis sp.",1,0,1,0,1,0
"106",106,"Elphidium macellum",1,0,1,0,1,0
"107",107,"Brown algae",1,0,1,0,1,0
"108",108,"Green algae",2,0,2,0,1,0
"109",109,"Miscellaneus",2,0,2,0,1,0
"110",110,"Red algae",2,0,2,0,1,0
"111",111,"Chroococcus sp.",2,0,2,0,1,0
"112",112,"Melosira sp.",2,0,2,0,1,0
