ID,TrophicSpecies,TotalDegree,NumPrey,NumPred,Between,TL,Omn
1,Harpagifer bispinis,8,5,3,19.5,2,0
2,Sprattus fuegensis,24,15,9,173,2,0
3,Myctophidae,1,0,1,0,1,0
4,Fragilaria sp.,3,0,3,0,1,0
5,Bivalvia larva,3,0,3,0,1,0
6,Copepod egg,3,0,3,0,1,0
7,Copepod nauplius,3,0,3,0,1,0
8,Calanoid copepodite,3,0,3,0,1,0
9,Ostracods,6,0,6,0,1,0
10,Salp,2,0,2,0,1,0
11,Appendicularia fecal pellet,1,0,1,0,1,0
12,Exosphaeroma gigas,3,0,3,0,1,0
13,Darina solenoides,5,2,3,9.33333333333333,2,0
14,Patagonotothen spp.,3,0,3,0,1,0
15,Zoarcids,1,0,1,0,1,0
16,Eleginops maclovinus,28,25,3,91.7,2.04,0.038
17,Odontesthes spp.,3,1,2,8,3,0
18,Macruronus magellanicus,4,1,3,14.5,3,0
19,Illex argentinus,3,0,3,0,1,0
20,Doryteuthis gahi,1,0,1,0,1,0
21,Enteroctopus megalocyathus,5,2,3,6,2,0
22,Munida gregaria,16,5,11,73.35,2,0
23,Halicarcinus planatus,4,1,3,2.2,2,0
24,Campylonotus vagans,2,0,2,0,1,0
25,Patagonotothen tessellata,12,9,3,32.45,2.111,0.099
26,Patagonotothen cornucola,5,3,2,9,2.333,0.222
27,Patagonotothen sima,1,0,1,0,1,0
28,Macrocystis pyrifera,13,0,13,0,1,0
29,Gammaridae,3,0,3,0,1,0
30,Tanaidae,2,0,2,0,1,0
31,Ulva sp.,7,0,7,0,1,0
32,Amphipoda,5,0,5,0,1,0
33,Merluccius sp.,1,0,1,0,1,0
34,Patagonotothen sp.,2,0,2,0,1,0
35,Lithodes santolla,19,16,3,64.95,2,0
36,Detritus,7,0,7,0,1,0
37,Genypterus blacodes,9,7,2,61.9,2.714,0.49
38,Myxine australis,1,0,1,0,1,0
39,Salilota australis,6,5,1,6.95,2.467,0.338
40,Gaimardia trapesina,3,1,2,0.833333333333333,2,0
41,Mytilus chilensis,8,2,6,6.5,2,0
42,Hydrozoans,3,0,3,0,1,0
43,Bryozoans,4,0,4,0,1,0
44,Sponges,4,0,4,0,1,0
45,Forams,8,0,8,0,1,0
46,Polychaetes,4,0,4,0,1,0
47,Echinoderms,2,0,2,0,1,0
48,Crustaceans,2,0,2,0,1,0
49,Bivalves,3,0,3,0,1,0
50,Gastropods,1,0,1,0,1,0
51,Cephalopods,2,0,2,0,1,0
52,Fish,1,0,1,0,1,0
53,Sediment,3,0,3,0,1,0
54,Debris allocthonous,2,0,2,0,1,0
55,Nacella spp.,1,0,1,0,1,0
56,Polyplacophora,1,0,1,0,1,0
57,Prolatilus jugularis,1,0,1,0,1,0
58,Cottoperca gobio,1,0,1,0,1,0
59,Acanthocyclus albatrossis,1,0,1,0,1,0
60,Taliepus dentatus,1,0,1,0,1,0
61,Cancer edwardsii,1,0,1,0,1,0
62,Rhodymenia falklandica,1,0,1,0,1,0
63,Lessonia flavicans,1,0,1,0,1,0
64,Sarcopeltis skottsbergii,2,0,2,0,1,0
65,Callophyllis variegata,1,0,1,0,1,0
66,Euphausia lucens,1,0,1,0,1,0
67,Euphausia vallentini,1,0,1,0,1,0
68,Themisto gaudichaudii ,1,0,1,0,1,0
69,Serolis sp.,1,0,1,0,1,0
70,Phytodetritus,6,0,6,0,1,0
71,Bivalvia,2,0,2,0,1,0
72,Elphidium macellum,1,0,1,0,1,0
73,Brown algae,1,0,1,0,1,0
74,Green algae,2,0,2,0,1,0
75,Miscellaneus,2,0,2,0,1,0
76,Red algae,2,0,2,0,1,0
77,Chroococcus sp.,2,0,2,0,1,0
78,Oscillatoria sp.,3,0,3,0,1,0
79,Melosira sp.,2,0,2,0,1,0
80,Coscinodiscus sp.,2,0,2,0,1,0
81,Stephanopyxis sp.,1,0,1,0,1,0
82,Biddulphia sp.,2,0,2,0,1,0
83,Pinnularia sp.,2,0,2,0,1,0
84,Navicula sp.,2,0,2,0,1,0
85,Gyrosigma sp.,2,0,2,0,1,0
86,Diploneis sp.,2,0,2,0,1,0
87,Plagiotropis sp.,2,0,2,0,1,0
88,Cocconeis sp.,2,0,2,0,1,0
89,Surirella sp.,2,0,2,0,1,0
90,Gomphonema sp.,2,0,2,0,1,0
91,Cymbella sp.,2,0,2,0,1,0
92,Licmophora sp,2,0,2,0,1,0
93,Amphora sp.,2,0,2,0,1,0
94,Cylindrotheca sp.,2,0,2,0,1,0
95,Nitzschia sp.,2,0,2,0,1,0
96,Achnanthes sp.,2,0,2,0,1,0
97,Rhabdonema sp.,2,0,2,0,1,0
98,Grammatophora sp.,2,0,2,0,1,0
99,Dinophysis sp.,2,0,2,0,1,0
100,Protoperidinium sp.,1,0,1,0,1,0
101,Prorocentrum sp.,2,0,2,0,1,0
102,Spongomorpha pacifica,2,0,2,0,1,0
103,Ulothrix sp.,2,0,2,0,1,0
104,Ulva clathrata,1,0,1,0,1,0
105,Ulva lactuca,2,0,2,0,1,0
106,Ulva prolifera,2,0,2,0,1,0
107,Rhizoclonium sp.,3,0,3,0,1,0
108,Ectocarpus siliculosus,2,0,2,0,1,0
109,Caepidium antarcticum,2,0,2,0,1,0
110,Adenocystis utricularis,2,0,2,0,1,0
111,Scytosiphon lomentaria,2,0,2,0,1,0
112,Halopteris funnicularis,2,0,2,0,1,0
113,Acrochaetium sp.,2,0,2,0,1,0
114,Nothogenia fastigiata,2,0,2,0,1,0
115,Iridaea chordata,2,0,2,0,1,0
116,Sarcothalia crispata,2,0,2,0,1,0
117,Grateloupia sp.,1,0,1,0,1,0
118,Ceramium sp.,3,0,3,0,1,0
119,Polysiphonia sp.,3,0,3,0,1,0
120,Pterosiphonia sp.,2,0,2,0,1,0
121,Ballia callitricha,2,0,2,0,1,0
122,Bostrychia sp.,2,0,2,0,1,0
123,Plocamium sp.,1,0,1,0,1,0
124,Margarella violacea,3,1,2,1,2,0
125,Laevilitorina caliginosa,2,0,2,0,1,0
126,Eatoniella sp.,1,0,1,0,1,0
127,Mytilus platensis,2,0,2,0,1,0
128,Lasaea sp.,2,0,2,0,1,0
129,Amphipoda indet,1,0,1,0,1,0
130,Elminius kingii,2,0,2,0,1,0
131,Arachnida indet,2,0,2,0,1,0
132,Halirytus magellanicus,2,0,2,0,1,0
133,Mazzaella laminaroides,1,0,1,0,1,0
134,Grateloupia sp,1,0,1,0,1,0
135,Heterosiphonia sp.,2,0,2,0,1,0
136,Onchidella marginata,1,0,1,0,1,0
137,Notochthamalus scabrosus,1,0,1,0,1,0
138,Fecal pellets,1,0,1,0,1,0
139,Macroalgae,5,0,5,0,1,0
140,Oncorhynchus mykiss,1,0,1,0,1,0
141,Oncorhynchus kisutch,1,0,1,0,1,0
142,Salmo salar,1,0,1,0,1,0
143,Mustelus mento,1,0,1,0,1,0
144,Thyrsites atun,1,0,1,0,1,0
145,Paralabrax humeralis,1,0,1,0,1,0
146,Odontesthes regia,1,0,1,0,1,0
147,Trachurus murphyi,1,0,1,0,1,0
148,Merluccius australis,2,1,1,0,3,0
149,Cilus gilberti,1,0,1,0,1,0
150,Genypterus spp.,1,0,1,0,1,0
151,Callorhinchus callorhynchus,1,0,1,0,1,0
152,Pinguipes chilensis,1,0,1,0,1,0
153,Unidentified fish,1,0,1,0,1,0
